Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,CP_Elec_3x5.3,218.416,-75.7174,180.0,top
C2,10n,CP_Elec_3x5.3,182.0178,-100.076,0.0,top
C3,10n,CP_Elec_3x5.3,218.5684,-110.8456,0.0,top
D1,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,202.0062,-75.4888,180.0,top
D2,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,175.133,-76.1238,-90.0,top
D3,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,229.1334,-75.7682,90.0,top
D4,BPV22NF,XDCR_BPV22NF,208.7626,-75.2348,0.0,top
D5,BPV22NF,XDCR_BPV22NF,175.0124,-83.0923,90.0,top
D6,BPV22NF,XDCR_BPV22NF,229.5334,-82.6935,-90.0,top
Q1,2N7000,TO-92_Inline,194.8942,-77.322,180.0,top
Q2,2N7000,TO-92_Inline,189.3584,-101.2908,0.0,top
Q3,2N7000,TO-92_Inline,218.9988,-90.6482,0.0,top
R1,1k,R_0201_0603Metric,194.6148,-84.2264,180.0,top
R2,47k,R_0201_0603Metric,198.0184,-84.201,180.0,top
R3,15,R_0201_0603Metric,192.1648,-84.2264,180.0,top
R4,1k,R_0201_0603Metric,176.4538,-100.5431,0.0,top
R5,47k,R_0201_0603Metric,172.7962,-96.6061,0.0,top
R6,15,R_0201_0603Metric,176.3014,-96.7331,0.0,top
R7,1k,R_0201_0603Metric,219.202,-101.6,0.0,top
R8,47k,R_0201_0603Metric,219.2782,-105.4862,0.0,top
R9,15,R_0201_0603Metric,218.9226,-97.1804,0.0,top
R10,220k,R_0201_0603Metric,211.6988,-84.6074,180.0,top
R11,220k,R_0201_0603Metric,172.6946,-100.4669,0.0,top
R12,220k,R_0201_0603Metric,212.598,-110.4138,0.0,top
U1,LM324DT,SOIC127P600X175-14N,196.6722,-95.5802,0.0,top
